Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,15:11:38,151.4999972,0,10.25711592,0.206163187,297.0516056,1.770450613,0.891785648,22.13434029,6,1.420000017,1,2.840000033,21.28194046,22.13434029,21.22455788,399.7268066,386.5920715,15.91999435,18.00705147,62.09183884,70.23127747,499.8147888,998.8449707,68.47038269,99.04673004,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833024648,0.001770451,295.2843403,294.4319405,159.8151917,0.86012899,2.675325213,27.01073738,9.003685909,21.70814037,2.60664158,0.19221014,1.783539566,0.823102014,0.121311571,29.42199019,0.768385147,68.20665251,381.7163299,0.018327839
2,15:13:43,276.4999944,0,8.3845364,0.210413608,217.3957106,1.8197682,0.899225382,22.26649094,6,1.420000017,1,2.840000033,21.3799324,22.26649094,21.31881714,299.6182251,288.9223328,16.00484085,18.14963531,62.05176926,70.36600494,499.8353271,999.1127319,86.85162354,99.04968262,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833058879,0.001819768,295.4164909,294.5299324,159.8580335,0.830000935,2.696941,27.22816397,9.078528656,21.82321167,2.625031864,0.195899548,1.797715618,0.827316246,0.123663426,21.53297614,0.752436506,68.23682622,284.9367257,0.02007934
3,15:16:12,425.499991,0,5.594720735,0.215857783,145.6784711,1.887068602,0.9103309,22.44939423,6,1.420000017,1,2.840000033,21.557827,22.44939423,21.49982262,199.516922,192.3650665,16.11880684,18.342556,61.81333923,70.34129333,499.819397,999.8927002,63.93134689,99.04724121,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833032328,0.001887069,295.5993942,294.707827,159.9828285,0.795124006,2.727110468,27.53343188,9.190875875,22.00361061,2.654091203,0.200610155,1.816779569,0.837311635,0.126667545,14.42905067,0.757302112,68.24883755,189.7056042,0.02012767
4,15:21:13,726.9999843,0,2.34316362,0.222298463,81.21888686,1.912386283,0.897742621,22.46775627,6,1.420000017,1,2.840000033,21.58994293,22.46775627,21.53593445,103.5925293,100.5490189,16.24472809,18.49785805,62.18284988,70.80709076,499.8410034,999.3440552,70.510849,99.0608139,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111135,0.833068339,0.001912386,295.6177563,294.7399429,159.8950453,0.782570058,2.730155494,27.56039837,9.062540327,22.0288496,2.658179164,0.206161366,1.832412874,0.82576629,0.130209605,8.045609036,0.807754146,68.78569498,99.4351911,0.016209165
5,15:26:14,1027.999978,0,1.585815983,0.231390829,88.14760086,1.96385638,0.888138877,22.50832748,6,1.420000017,1,2.840000033,21.64624023,22.50832748,21.5959549,103.3960419,101.253746,16.35074043,18.66413879,62.36941147,71.19335938,499.836792,998.9196167,70.13705444,99.05387115,-1.081407666,0.10435693,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111135,0.83306132,0.001963856,295.6583275,294.7962402,159.8271351,0.7567544,2.736894077,27.63035957,8.966220774,22.07728386,2.666039501,0.213958429,1.848755199,0.817284302,0.135188073,8.731361098,0.87056138,69.28312397,100.4999251,0.010932375
6,15:28:15,1148.999975,0,-2.187445705,0.235839732,18.8557909,1.98796183,0.883277099,22.53959274,6,1.420000017,1,2.840000033,21.67034531,22.53959274,21.61559486,0.500692904,3.119083881,16.42440033,18.7659893,62.55621338,71.47483826,499.8287354,999.491272,86.73230743,99.05258942,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833047892,0.001987962,295.6895927,294.8203453,159.9185999,0.744197819,2.742096933,27.6832433,8.917254001,22.10496902,2.670541625,0.217756742,1.858819833,0.811721792,0.137614756,1.867714914,6.045297792,69.55092532,4.158890806,-0.365815983
7,15:33:24,1458.499968,0,12.92392532,0.240370523,287.0624407,1.996993661,0.871657204,22.50748253,6,1.420000017,1,2.840000033,21.64155388,22.50748253,21.58991432,400.543335,384.1076965,16.48110199,18.83328629,62.87036896,71.8427887,499.8036194,1000.186829,65.7013092,99.03191376,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833006032,0.001996994,295.6574825,294.7915539,160.029889,0.741291042,2.736753587,27.63506716,8.801780872,22.0745182,2.66559012,0.221613692,1.865096383,0.800493736,0.140079867,28.42834287,0.747348838,69.93681744,377.9642814,0.023913852
8,15:35:28,1582.499965,0,14.26993752,0.240411405,471.9939416,2.006306566,0.875567787,22.5402317,6,1.420000017,1,2.840000033,21.63321686,22.5402317,21.57936859,599.9217529,581.3901978,16.48532677,18.84852219,62.92003632,71.93917084,499.7870178,1000.13446,60.15539169,99.03352356,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832978363,0.002006307,295.6902317,294.7832169,160.0215101,0.730847067,2.742203353,27.68964745,8.841125259,22.08672428,2.667573943,0.221648443,1.866635566,0.800938377,0.140102082,46.74322314,0.811836772,69.86128019,574.6069529,0.017349531
9,15:38:50,1784.499961,0,17.01429722,0.24460728,647.8549258,2.071153366,0.889420861,22.70328331,6,1.420000017,1,2.840000033,21.78533363,22.70328331,21.72616196,800.0812988,777.7234497,16.54427147,18.98332024,62.56464386,71.78785706,499.8266602,999.1808472,88.5772171,99.03733063,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833044434,0.002071153,295.8532833,294.9353336,159.868932,0.693253707,2.769478224,27.96398294,8.980662699,22.24430847,2.69330199,0.225210088,1.880057363,0.813244628,0.142379326,64.16182249,0.83301452,69.72083796,769.6356677,0.015413151
10,15:40:54,1908.499958,0,17.80883896,0.239007487,1032.014738,2.051927884,0.900045244,22.76568985,6,1.420000017,1,2.840000033,21.88505745,22.76568985,21.82783318,1200.358154,1176.082642,16.56724739,18.98371506,62.26327515,71.34648895,499.8141785,999.3982544,54.24131393,99.02881622,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833023631,0.002051928,295.9156898,295.0350574,159.9037171,0.708513445,2.779980074,28.07243568,9.088720619,22.32537365,2.706621524,0.220454567,1.87993483,0.826686694,0.139338928,102.1991978,0.877501887,69.41767545,1167.617172,0.010587787
11,15:43:07,2041.499955,0,18.32989008,0.22407231,1313.554528,1.95812321,0.911739673,22.78550339,6,1.420000017,1,2.840000033,21.90937614,22.78550339,21.85476303,1499.556885,1474.087402,16.59288788,18.89912224,62.26849365,70.92567444,499.8060303,999.2775879,67.8425293,99.03009796,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83301005,0.001958123,295.9355034,295.0593761,159.8844105,0.757990288,2.783321599,28.10581486,9.206692626,22.34743977,2.710257096,0.207686143,1.871581927,0.838675169,0.131182871,130.0814336,0.891096774,68.90749997,1465.37425,0.008619415
12,15:45:16,2170.499952,0,18.8067659,0.199945969,1784.395605,1.804765075,0.934322593,22.81559753,6,1.420000017,1,2.840000033,21.9202919,22.81559753,21.86320496,1999.578491,1972.728394,16.59752083,18.72344971,62.24056625,70.2165451,499.8211365,999.4016724,53.3192749,99.02454376,-1.081407666,0.10435693,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833035227,0.001804765,295.9655975,295.0702919,159.904264,0.835997311,2.788403658,28.15871249,9.435262788,22.36794472,2.713639283,0.186794949,1.854081065,0.859558218,0.117861203,176.6989607,0.904531821,67.94504055,1963.788558,0.006506945